name_ja,name_en,type,prefecture,reason,org_kind
北海道大学,Hokkaido University,national,北海道,,university
北海道教育大学,Hokkaido University of Education,national,北海道,,university
室蘭工業大学,Muroran Institute of Technology,national,北海道,,university
小樽商科大学,Otaru University of Commerce,national,北海道,,university
帯広畜産大学,Obihiro University of Agriculture and Veterinary Medicine,national,北海道,,university
旭川医科大学,Asahikawa Medical University,national,北海道,,university
北見工業大学,Kitami Institute of Technology,national,北海道,,university
弘前大学,Hirosaki University,national,青森県,,university
岩手大学,Iwate University,national,岩手県,,university
東北大学,Tohoku University,national,宮城県,,university
宮城教育大学,Miyagi University of Education,national,宮城県,,university
秋田大学,Akita University,national,秋田県,,university
山形大学,Yamagata University,national,山形県,,university
福島大学,Fukushima University,national,福島県,,university
茨城大学,Ibaraki University,national,茨城県,,university
筑波大学,University of Tsukuba,national,茨城県,,university
筑波技術大学,Tsukuba University of Technology,national,茨城県,,university
宇都宮大学,Utsunomiya University,national,栃木県,,university
群馬大学,Gunma University,national,群馬県,,university
埼玉大学,Saitama University,national,埼玉県,,university
千葉大学,Chiba University,national,千葉県,,university
東京大学,The University of Tokyo,national,東京都,,university
東京外国語大学,Tokyo University of Foreign Studies,national,東京都,,university
東京学芸大学,Tokyo Gakugei University,national,東京都,,university
東京農工大学,Tokyo University of Agriculture and Technology,national,東京都,,university
東京藝術大学,Tokyo University of the Arts,national,東京都,,university
東京科学大学,Institute of Science Tokyo,national,東京都,,university
東京海洋大学,Tokyo University of Marine Science and Technology,national,東京都,,university
お茶の水女子大学,Ochanomizu University,national,東京都,,university
電気通信大学,The University of Electro-Communications,national,東京都,,university
一橋大学,Hitotsubashi University,national,東京都,,university
横浜国立大学,Yokohama National University,national,神奈川県,,university
新潟大学,Niigata University,national,新潟県,,university
長岡技術科学大学,Nagaoka University of Technology,national,新潟県,,university
上越教育大学,Joetsu University of Education,national,新潟県,,university
富山大学,University of Toyama,national,富山県,,university
金沢大学,Kanazawa University,national,石川県,,university
北陸先端科学技術大学院大学,Japan Advanced Institute of Science and Technology,national,石川県,,university
福井大学,University of Fukui,national,福井県,,university
山梨大学,University of Yamanashi,national,山梨県,,university
信州大学,Shinshu University,national,長野県,,university
岐阜大学,Gifu University,national,岐阜県,,university
静岡大学,Shizuoka University,national,静岡県,,university
浜松医科大学,Hamamatsu University School of Medicine,national,静岡県,,university
名古屋大学,Nagoya University,national,愛知県,,university
愛知教育大学,Aichi University of Education,national,愛知県,,university
名古屋工業大学,Nagoya Institute of Technology,national,愛知県,,university
豊橋技術科学大学,Toyohashi University of Technology,national,愛知県,,university
三重大学,Mie University,national,三重県,,university
滋賀大学,Shiga University,national,滋賀県,,university
滋賀医科大学,Shiga University of Medical Science,national,滋賀県,,university
京都大学,Kyoto University,national,京都府,,university
京都教育大学,Kyoto University of Education,national,京都府,,university
京都工芸繊維大学,Kyoto Institute of Technology,national,京都府,,university
大阪大学,Osaka University,national,大阪府,,university
大阪教育大学,Osaka Kyoiku University,national,大阪府,,university
兵庫教育大学,Hyogo University of Teacher Education,national,兵庫県,,university
神戸大学,Kobe University,national,兵庫県,,university
奈良教育大学,Nara University of Education,national,奈良県,,university
奈良女子大学,Nara Women's University,national,奈良県,,university
奈良先端科学技術大学院大学,Nara Institute of Science and Technology,national,奈良県,,university
和歌山大学,Wakayama University,national,和歌山県,,university
鳥取大学,Tottori University,national,鳥取県,,university
島根大学,Shimane University,national,島根県,,university
岡山大学,Okayama University,national,岡山県,,university
広島大学,Hiroshima University,national,広島県,,university
山口大学,Yamaguchi University,national,山口県,,university
徳島大学,Tokushima University,national,徳島県,,university
鳴門教育大学,Naruto University of Education,national,徳島県,,university
香川大学,Kagawa University,national,香川県,,university
愛媛大学,Ehime University,national,愛媛県,,university
高知大学,Kochi University,national,高知県,,university
福岡教育大学,University of Teacher Education Fukuoka,national,福岡県,,university
九州大学,Kyushu University,national,福岡県,,university
九州工業大学,Kyushu Institute of Technology,national,福岡県,,university
佐賀大学,Saga University,national,佐賀県,,university
長崎大学,Nagasaki University,national,長崎県,,university
熊本大学,Kumamoto University,national,熊本県,,university
大分大学,Oita University,national,大分県,,university
宮崎大学,University of Miyazaki,national,宮崎県,,university
鹿児島大学,Kagoshima University,national,鹿児島県,,university
鹿屋体育大学,National Institute of Fitness and Sports in Kanoya,national,鹿児島県,,university
琉球大学,University of the Ryukyus,national,沖縄県,,university
政策研究大学院大学,National Graduate Institute for Policy Studies,national,東京都,,university
総合研究大学院大学,The Graduate University for Advanced Studies SOKENDAI,national,神奈川県,,university
札幌医科大学,Sapporo Medical University,public,北海道,,university
札幌市立大学,Sapporo City University,public,北海道,,university
公立はこだて未来大学,Future University Hakodate,public,北海道,,university
釧路公立大学,Kushiro Public University of Economics,public,北海道,,university
名寄市立大学,Nayoro City University,public,北海道,,university
公立千歳科学技術大学,Chitose Institute of Science and Technology,public,北海道,,university
旭川市立大学,Asahikawa City University,public,北海道,,university
青森県立保健大学,Aomori University of Health and Welfare,public,青森県,,university
青森公立大学,Aomori Public University,public,青森県,,university
岩手県立大学,Iwate Prefectural University,public,岩手県,,university
宮城大学,Miyagi University,public,宮城県,,university
秋田県立大学,Akita Prefectural University,public,秋田県,,university
国際教養大学,Akita International University,public,秋田県,,university
秋田公立美術大学,Akita University of Art,public,秋田県,,university
山形県立保健医療大学,Yamagata Prefectural University of Health Sciences,public,山形県,,university
山形県立米沢栄養大学,Yamagata Prefectural Yonezawa University of Nutrition Sciences,public,山形県,,university
会津大学,University of Aizu,public,福島県,,university
福島県立医科大学,Fukushima Medical University,public,福島県,,university
茨城県立医療大学,Ibaraki Prefectural University of Health Sciences,public,茨城県,,university
群馬県立女子大学,Gunma Prefectural Women's University,public,群馬県,,university
群馬県立県民健康科学大学,Gunma Prefectural College of Health Sciences,public,群馬県,,university
高崎経済大学,Takasaki City University of Economics,public,群馬県,,university
前橋工科大学,Maebashi Institute of Technology,public,群馬県,,university
埼玉県立大学,Saitama Prefectural University,public,埼玉県,,university
千葉県立保健医療大学,Chiba Prefectural University of Health Sciences,public,千葉県,,university
東京都立大学,Tokyo Metropolitan University,public,東京都,,university
東京都立産業技術大学院大学,Advanced Institute of Industrial Technology,public,東京都,,university
神奈川県立保健福祉大学,Kanagawa University of Human Services,public,神奈川県,,university
横浜市立大学,Yokohama City University,public,神奈川県,,university
川崎市立看護大学,Kawasaki City University of Nursing,public,神奈川県,,university
新潟県立大学,University of Niigata Prefecture,public,新潟県,,university
新潟県立看護大学,Niigata College of Nursing,public,新潟県,,university
長岡造形大学,Nagaoka Institute of Design,public,新潟県,,university
三条市立大学,Sanjo City University,public,新潟県,,university
富山県立大学,Toyama Prefectural University,public,富山県,,university
石川県立大学,Ishikawa Prefectural University,public,石川県,,university
石川県立看護大学,Ishikawa Prefectural Nursing University,public,石川県,,university
金沢美術工芸大学,Kanazawa College of Art,public,石川県,,university
公立小松大学,Komatsu University,public,石川県,,university
福井県立大学,Fukui Prefectural University,public,福井県,,university
敦賀市立看護大学,Tsuruga Nursing University,public,福井県,,university
都留文科大学,Tsuru University,public,山梨県,,university
山梨県立大学,Yamanashi Prefectural University,public,山梨県,,university
長野大学,Nagano University,public,長野県,,university
長野県立大学,The University of Nagano,public,長野県,,university
長野県看護大学,Nagano College of Nursing,public,長野県,,university
公立諏訪東京理科大学,Suwa University of Science,public,長野県,,university
岐阜県立看護大学,Gifu College of Nursing,public,岐阜県,,university
