電気通信大学,The University of Electro-Communications
旭川市立大学,Asahikawa City University
川崎市立看護大学,Kawasaki City University of Nursing
岐阜県立看護大学,Gifu College of Nursing
静岡社会健康医学大学院大学,Graduate School of Public Health Shizuoka
愛知県立芸術大学,Aichi University of the Arts
滋賀県立大学,The University of Shiga Prefecture
福知山公立大学,Fukuchiyama Public University
新見公立大学,Niimi University
香川県立保健医療大学,Kagawa Prefectural University of Health Sciences
愛媛県立医療技術大学,Ehime Prefectural University of Health Sciences
東京慈恵会医科大学,The Jikei University School of Medicine
国立がん研究センター,National Cancer Center Japan
